sl_no,well_id,state,district,block,location,latitude,longitude,year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U,Fe,As,source_year,source_file,state_source,synthetic_id,TDS_source,wqi,wqi_category,risk_level,risk_band,risk_basis,eclipsed,wqi_n_params,wqi_confidence,dominant_driver,n_exceedances,permissible_breaches
9658A&N,SYN|Andaman & Nicobar Islands|Havelock|Govindanagar|12.036|92.987,Andaman & Nicobar Islands,Havelock,,Govindanagar Vill No - 1,12.0364,92.9869,2019,7.41,976.0,0.0,390.0,78.0,151.0,2.0,,265.0,26.0,49.0,89.0,4.6,0.67,,625.0,,,,2019,cgwb_2019.pdf,reported,True,measured,60.27,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
9659A&N,SYN|Andaman & Nicobar Islands|Havelock|Govindanagar|12.030|92.998,Andaman & Nicobar Islands,Havelock,,Govindanagar Vll No - 3,12.0297,92.9978,2019,7.52,735.0,0.0,415.0,35.0,72.0,0.0,,205.0,52.0,18.0,75.0,2.0,0.64,,470.0,,,,2019,cgwb_2019.pdf,reported,True,measured,45.4,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
9660A&N,SYN|Andaman & Nicobar Islands|Havelock|Dolphin Yatr|11.018|93.008,Andaman & Nicobar Islands,Havelock,,Dolphin Yatri Nivas,11.0183,93.0083,2019,7.54,678.0,0.0,372.0,35.0,39.0,0.0,,240.0,24.0,44.0,32.0,4.6,0.64,,434.0,,,,2019,cgwb_2019.pdf,reported,True,measured,43.38,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
1400A&N,W120001092583401,Andaman & Nicobar Islands,Havelock,,Krishnanagar,12.0003,92.9758,2019,7.61,353.0,0.0,220.0,64.0,42.0,6.0,,170.0,60.0,5.0,66.0,4.1,0.09,,226.0,,,,2019,cgwb_2019.pdf,reported,False,measured,29.11,Excellent,Low,Low,wqi_band,False,7,High,TDS,0,0
1398A&N,W120159092585201,Andaman & Nicobar Islands,Havelock,,Havelock Island Jetty,12.0411,92.9808,2019,7.38,772.0,0.0,299.0,135.0,62.0,8.0,,435.0,80.0,57.0,66.0,10.1,0.11,,494.0,,,,2019,cgwb_2019.pdf,reported,False,measured,50.42,Good,Low,Low,wqi_band,False,7,High,TH,1,0
5809,SYN|Andaman & Nicobar Islands|Havelock|Govindanagar|12.036|92.987,Andaman & Nicobar Islands,Havelock,,GovindanagarVill No -1,12.03639,92.98694,2021,7.27,1061.0,0.0,354.0,96.0,59.0,15.0,,365.0,50.0,58.0,78.0,6.0,0.79,,580.0,0.3,,,2021,cgwb_2019.pdf,reported,True,measured,62.81,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
5810,SYN|Andaman & Nicobar Islands|Havelock|Govindanagar|12.030|92.998,Andaman & Nicobar Islands,Havelock,,GovindanagarVll No -3,12.02972,92.99778,2021,7.27,631.0,0.0,348.0,35.0,4.0,1.0,,225.0,46.0,27.0,36.0,3.0,0.31,,364.0,0.8,,,2021,cgwb_2019.pdf,reported,True,measured,29.79,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
5811,SYN|Andaman & Nicobar Islands|Havelock|Dolphin Yatr|11.018|93.008,Andaman & Nicobar Islands,Havelock,,Dolphin YatriNivas,11.01833,93.00833,2021,7.29,559.0,0.0,311.0,28.0,4.0,2.0,,240.0,30.0,40.0,17.0,7.0,0.37,,318.0,0.2,,,2021,cgwb_2019.pdf,reported,True,measured,30.39,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
32,W115913092571701,Andaman & Nicobar Islands,Havelock,PORT BLAIR,Radhanagar,11.99167,92.95333,2021,7.77,878.0,0.0,458.0,53.0,8.0,1.0,,245.0,48.0,30.0,75.0,8.0,0.22,,504.0,0.1,,,2021,cgwb_2019.pdf,reported,False,measured,39.05,Excellent,Low,Low,wqi_band,False,7,High,TDS,2,0
5831,SYN|Andaman & Nicobar Islands|Havelock Island|6 ½ No Fores|12.002|92.976,Andaman & Nicobar Islands,Havelock Island,,6 ½ No Forest Camp,12.00222,92.97583,2021,8.06,461.0,0.0,256.0,14.0,1.0,1.0,,230.0,72.0,12.0,6.0,3.0,0.62,,283.0,0.1,,,2021,cgwb_2019.pdf,reported,True,measured,39.96,Excellent,Low,Low,wqi_band,False,7,High,F,1,0
62,W120159092585201,Andaman & Nicobar Islands,Havelock Island,PORT BLAIR,Havelock Island Jetty,12.04111,92.98083,2021,7.66,1076.0,0.0,299.0,138.0,91.0,5.0,,280.0,80.0,19.0,107.0,8.0,0.73,,645.0,0.3,,,2021,cgwb_2019.pdf,reported,False,measured,64.45,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
63,W120017093001701,Andaman & Nicobar Islands,Havelock Island,PORT BLAIR,Vijaynagar,12.00528,93.00694,2021,7.54,579.0,0.0,293.0,46.0,4.0,1.0,,235.0,62.0,19.0,32.0,7.0,0.28,,370.0,1.0,,,2021,cgwb_2019.pdf,reported,False,measured,32.94,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
64,W222820086432601,Andaman & Nicobar Islands,Havelock Island,CHAKULIA,Kalapathar,11.97472,93.00583,2021,7.48,895.0,0.0,439.0,71.0,0.0,1.0,,285.0,78.0,22.0,87.0,3.0,0.39,,530.0,0.1,,,2021,cgwb_2019.pdf,reported,False,measured,41.79,Excellent,Low,Low,wqi_band,False,7,High,TDS,2,0
65,W120001092583401,Andaman & Nicobar Islands,Havelock Island,PORT BLAIR,Krishnanagar,12.00028,92.97583,2021,7.58,446.0,0.0,134.0,28.0,63.0,0.0,,195.0,60.0,11.0,3.0,3.0,0.17,,321.0,0.5,,,2021,cgwb_2019.pdf,reported,False,measured,31.52,Excellent,Low,Low,wqi_band,False,7,High,TDS,0,0
9657A&N,SYN|Andaman & Nicobar Islands|Long Island|Long Island |12.366|92.920,Andaman & Nicobar Islands,Long Island,,Long Island (secondary school),12.3658,92.9203,2019,7.57,605.0,0.0,360.0,35.0,50.0,11.0,,275.0,30.0,49.0,45.0,2.5,0.47,,387.0,,,,2019,cgwb_2019.pdf,reported,True,measured,45.77,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
9679A&N,SYN|Andaman & Nicobar Islands|Long Island|Adj to Copar|12.365|92.924,Andaman & Nicobar Islands,Long Island,,Adj to Coparative Bank,12.365,92.9244,2019,7.42,675.0,0.0,342.0,64.0,26.0,5.0,,275.0,90.0,12.0,36.0,4.1,0.09,,432.0,,,,2019,cgwb_2019.pdf,reported,True,measured,35.63,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
1370A&N,W122200092552201,Andaman & Nicobar Islands,Long Island,,Long Island (forest Area),12.3664,92.9233,2019,7.47,1064.0,0.0,604.0,28.0,180.0,21.0,,385.0,46.0,66.0,96.0,10.5,0.72,,681.0,,,,2019,cgwb_2019.pdf,reported,False,measured,75.63,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
30,W122205092551201,Andaman & Nicobar Islands,Long Island,RONGET,Long Island,12.36444,92.92333,2021,7.14,533.0,0.0,305.0,25.0,5.0,2.0,,255.0,74.0,17.0,7.0,1.0,0.74,,317.0,1.8,,,2021,cgwb_2019.pdf,reported,False,measured,36.23,Excellent,Low,Low,wqi_band,False,7,High,F,1,0
31,W122200092552201,Andaman & Nicobar Islands,Long Island,RONGET,Long Island (forest Area),12.36639,92.92333,2021,7.34,878.0,0.0,494.0,32.0,2.0,0.0,,280.0,40.0,44.0,55.0,11.0,0.68,,497.0,0.7,,,2021,cgwb_2019.pdf,reported,False,measured,42.62,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
9653A&N,SYN|Andaman & Nicobar Islands|N&M Andaman|Dhobidera (M|12.910|92.899,Andaman & Nicobar Islands,N&M Andaman,,Dhobidera (Mayabunder),12.91,92.8992,2019,7.32,856.0,0.0,470.0,46.0,3.0,3.0,,310.0,46.0,47.0,80.0,2.2,0.57,,548.0,,,,2019,cgwb_2019.pdf,reported,True,measured,44.94,Excellent,Low,Low,wqi_band,False,7,High,TDS,2,0
9654A&N,SYN|Andaman & Nicobar Islands|N&M Andaman|Sitanagar|13.227|92.936,Andaman & Nicobar Islands,N&M Andaman,,Sitanagar,13.2269,92.9361,2019,7.37,370.0,0.0,207.0,25.0,43.0,5.0,,190.0,22.0,33.0,5.0,0.6,0.38,,237.0,,,,2019,cgwb_2019.pdf,reported,True,measured,31.1,Excellent,Low,Low,wqi_band,False,7,High,F,0,0
9655A&N,SYN|Andaman & Nicobar Islands|N&M Andaman|Tugapur No. |12.820|92.823,Andaman & Nicobar Islands,N&M Andaman,,Tugapur No. 8,12.82,92.8225,2019,7.61,242.0,0.0,61.0,25.0,72.0,12.0,,125.0,18.0,7.0,46.0,2.5,0.32,,155.0,,,,2019,cgwb_2019.pdf,reported,True,measured,32.56,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9656A&N,SYN|Andaman & Nicobar Islands|N&M Andaman|Parnashala|12.521|92.903,Andaman & Nicobar Islands,N&M Andaman,,Parnashala,12.5206,92.9033,2019,7.48,657.0,0.0,268.0,28.0,166.0,4.0,,300.0,18.0,62.0,28.0,2.1,0.39,,420.0,,,,2019,cgwb_2019.pdf,reported,True,measured,50.71,Good,Low,Low,wqi_band,False,7,High,TDS,1,0
9676A&N,SYN|Andaman & Nicobar Islands|N&M Andaman|South Creek |12.187|92.792,Andaman & Nicobar Islands,N&M Andaman,,South Creek (Sundergarh),12.1867,92.7917,2019,7.55,779.0,0.0,275.0,43.0,125.0,7.0,,250.0,74.0,16.0,70.0,1.4,0.06,,498.0,,,,2019,cgwb_2019.pdf,reported,True,measured,44.61,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
9677A&N,SYN|Andaman & Nicobar Islands|N&M Andaman|Webi (Debipu|12.867|92.872,Andaman & Nicobar Islands,N&M Andaman,,Webi (Debipur),12.8669,92.8719,2019,7.67,502.0,0.0,244.0,89.0,11.0,7.0,,265.0,36.0,42.0,70.0,5.4,0.14,,321.0,,,,2019,cgwb_2019.pdf,reported,True,measured,36.19,Excellent,Low,Low,wqi_band,False,7,High,TH,1,0
1350A&N,W123020092544201,Andaman & Nicobar Islands,N&M Andaman,,Rangat,12.5061,92.9086,2019,7.45,591.0,0.0,384.0,32.0,17.0,1.0,,300.0,28.0,56.0,30.0,0.9,0.48,,378.0,,,,2019,cgwb_2019.pdf,reported,False,measured,38.74,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
1351A&N,W123014092513301,Andaman & Nicobar Islands,N&M Andaman,,Bakultala,12.5042,92.8583,2019,7.42,437.0,0.0,226.0,28.0,48.0,1.0,,240.0,52.0,27.0,20.0,1.3,0.48,,280.0,,,,2019,cgwb_2019.pdf,reported,False,measured,35.43,Excellent,Low,Low,wqi_band,False,7,High,F,1,0
1352A&N,W123129092581301,Andaman & Nicobar Islands,N&M Andaman,,Nimbutala,12.4944,92.9542,2019,7.43,592.0,0.0,415.0,35.0,16.0,9.0,,275.0,46.0,39.0,46.0,4.3,0.55,,379.0,,,,2019,cgwb_2019.pdf,reported,False,measured,42.29,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
1353A&N,W123030092573801,Andaman & Nicobar Islands,N&M Andaman,,Padmanavapuram,12.6067,92.9492,2019,7.41,585.0,0.0,323.0,57.0,17.0,14.0,,235.0,52.0,25.0,43.0,1.2,0.7,,374.0,,,,2019,cgwb_2019.pdf,reported,False,measured,46.35,Excellent,Low,Low,wqi_band,False,7,High,F,1,0
1355A&N,W121001092455601,Andaman & Nicobar Islands,N&M Andaman,,Baratang (Nilambur),12.1683,92.7669,2019,7.16,528.0,0.0,293.0,25.0,98.0,3.0,,225.0,28.0,38.0,44.0,0.6,0.45,,338.0,,,,2019,cgwb_2019.pdf,reported,False,measured,37.87,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
1356A&N,W122041092464401,Andaman & Nicobar Islands,N&M Andaman,,Kadamtala,12.3492,92.7742,2019,7.31,661.0,0.0,403.0,28.0,87.0,0.0,,275.0,46.0,39.0,60.0,0.9,0.6,,423.0,,,,2019,cgwb_2019.pdf,reported,False,measured,44.58,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
1357A&N,W122009092455601,Andaman & Nicobar Islands,N&M Andaman,,Porlobjig-15,12.4956,92.7811,2019,7.58,259.0,0.0,165.0,11.0,17.0,0.0,,100.0,28.0,7.0,13.0,1.3,0.4,,166.0,,,,2019,cgwb_2019.pdf,reported,False,measured,23.51,Excellent,Low,Low,wqi_band,False,7,High,F,0,0
1358A&N,W122724092462501,Andaman & Nicobar Islands,N&M Andaman,,Tikadera,12.5228,92.8139,2019,7.61,222.0,0.0,92.0,25.0,19.0,14.0,,75.0,18.0,7.0,21.0,1.5,0.34,,142.0,,,,2019,cgwb_2019.pdf,reported,False,measured,27.59,Excellent,Low,Low,wqi_band,False,7,High,F,0,0
1361A&N,W131024092555501,Andaman & Nicobar Islands,N&M Andaman,,Nabagram,13.1547,92.9483,2019,7.4,299.0,0.0,189.0,21.0,131.0,4.0,,150.0,14.0,28.0,77.0,1.2,0.41,,191.0,,,,2019,cgwb_2019.pdf,reported,False,measured,35.04,Excellent,Low,Low,wqi_band,False,7,High,SO4,0,0
1363A&N,W131708093001101,Andaman & Nicobar Islands,N&M Andaman,,Laxmipur,13.2758,92.9667,2019,7.61,1107.0,0.0,268.0,25.0,481.0,4.0,,270.0,40.0,41.0,152.0,6.6,0.57,,708.0,,,,2019,cgwb_2019.pdf,reported,False,measured,85.94,Good,Medium,Low,exceedance_override,True,7,High,SO4,3,1
1364A&N,W131427092592601,Andaman & Nicobar Islands,N&M Andaman,,Subhasgram,13.2522,92.9742,2019,7.54,531.0,0.0,275.0,28.0,147.0,16.0,,245.0,34.0,39.0,56.0,1.8,0.37,,340.0,,,,2019,cgwb_2019.pdf,reported,False,measured,50.05,Good,Low,Low,wqi_band,False,7,High,SO4,1,0
1372A&N,W123652092555501,Andaman & Nicobar Islands,N&M Andaman,,Swadeshnagar,12.6508,92.8911,2019,7.09,781.0,0.0,153.0,21.0,32.0,3.0,,140.0,28.0,17.0,35.0,1.4,0.2,,500.0,,,,2019,cgwb_2019.pdf,reported,False,measured,29.13,Excellent,Low,Low,wqi_band,False,7,High,TDS,0,0
1392A&N,W130955092525301,Andaman & Nicobar Islands,N&M Andaman,,Kishorinagar (Parangara),13.165,92.8817,2019,8.07,88.0,0.0,92.0,18.0,57.0,7.0,,125.0,16.0,21.0,7.0,1.8,0.04,,56.0,,,,2019,cgwb_2019.pdf,reported,False,measured,25.5,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
1393A&N,W131850092563301,Andaman & Nicobar Islands,N&M Andaman,,Milangram,13.3142,92.9411,2019,7.6,329.0,0.0,153.0,46.0,20.0,2.0,,150.0,22.0,23.0,48.0,2.3,0.11,,210.0,,,,2019,cgwb_2019.pdf,reported,False,measured,24.09,Excellent,Low,Low,wqi_band,False,7,High,TDS,0,0
1394A&N,W131537093004901,Andaman & Nicobar Islands,N&M Andaman,,Keralapuram,13.26,93.0133,2019,7.63,510.0,0.0,232.0,39.0,44.0,2.0,,190.0,38.0,23.0,53.0,1.9,0.09,,327.0,,,,2019,cgwb_2019.pdf,reported,False,measured,30.43,Excellent,Low,Low,wqi_band,False,7,High,TDS,0,0
1395A&N,W125022092511201,Andaman & Nicobar Islands,N&M Andaman,,Pahalgaon,12.8394,92.8533,2019,7.22,851.0,0.0,336.0,152.0,117.0,15.0,,765.0,80.0,137.0,20.0,1.0,0.11,,544.0,,,,2019,cgwb_2019.pdf,reported,False,measured,70.26,Good,Medium,Low,exceedance_override,True,7,High,TH,2,1
5829,SYN|Andaman & Nicobar Islands|N&M Andaman|South Creek |12.187|92.792,Andaman & Nicobar Islands,N&M Andaman,,South Creek (Sundergarh),12.18667,92.79167,2021,7.5,747.0,0.0,299.0,39.0,46.0,1.0,,250.0,26.0,45.0,54.0,1.0,0.42,,409.0,1.7,,,2021,cgwb_2019.pdf,reported,True,measured,39.65,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
5830,SYN|Andaman & Nicobar Islands|N&M Andaman|Webi (Debipu|12.867|92.872,Andaman & Nicobar Islands,N&M Andaman,,Webi (Debipur),12.86694,92.87194,2021,7.86,264.0,0.0,140.0,18.0,2.0,2.0,,120.0,20.0,17.0,9.0,3.0,0.18,,163.0,0.8,,,2021,cgwb_2019.pdf,reported,True,measured,22.87,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
5804,SYN|Andaman & Nicobar Islands|N&M Andaman|Tugapur No. |12.820|92.844,Andaman & Nicobar Islands,N&M Andaman,,Tugapur No. 8,12.82,92.84389,2021,7.38,324.0,0.0,104.0,28.0,29.0,6.0,,110.0,24.0,12.0,28.0,2.0,0.38,,193.0,0.6,,,2021,cgwb_2019.pdf,reported,True,measured,26.44,Excellent,Low,Low,wqi_band,False,7,High,F,0,0
5805,SYN|Andaman & Nicobar Islands|N&M Andaman|Parnashala|12.521|92.903,Andaman & Nicobar Islands,N&M Andaman,,Parnashala,12.52056,92.90333,2021,7.68,807.0,0.0,311.0,32.0,91.0,13.0,,355.0,74.0,41.0,42.0,3.0,0.41,,485.0,2.3,,,2021,cgwb_2019.pdf,reported,True,measured,55.34,Good,Low,Low,wqi_band,False,7,High,TDS,1,0
5806,SYN|Andaman & Nicobar Islands|N&M Andaman|Calicut Bore|11.601|92.719,Andaman & Nicobar Islands,N&M Andaman,,Calicut Borewell,11.60056,92.71917,2021,7.89,422.0,0.0,256.0,32.0,4.0,2.0,,210.0,36.0,29.0,15.0,0.0,0.41,,275.0,0.4,,,2021,cgwb_2019.pdf,reported,True,measured,34.85,Excellent,Low,Low,wqi_band,False,7,High,pH,1,0
5807,SYN|Andaman & Nicobar Islands|N&M Andaman|Benabad Tube|11.585|92.733,Andaman & Nicobar Islands,N&M Andaman,,Benabad Tubewell,11.58528,92.73306,2021,7.7,283.0,0.0,183.0,25.0,0.0,0.0,,145.0,24.0,21.0,10.0,1.0,0.45,,197.0,0.1,,,2021,cgwb_2019.pdf,reported,True,measured,27.57,Excellent,Low,Low,wqi_band,False,7,High,F,0,0
5801,SYN|Andaman & Nicobar Islands|N&M Andaman|Dhobidera(Ma|12.910|92.899,Andaman & Nicobar Islands,N&M Andaman,,Dhobidera(Mayabunder),12.91,92.89917,2021,7.74,886.0,0.0,500.0,57.0,5.0,1.0,,340.0,32.0,63.0,62.0,1.0,0.57,,527.0,0.6,,,2021,cgwb_2019.pdf,reported,True,measured,49.39,Excellent,Low,Low,wqi_band,False,7,High,TDS,2,0
5802,SYN|Andaman & Nicobar Islands|N&M Andaman|Sitanagar|13.227|92.936,Andaman & Nicobar Islands,N&M Andaman,,Sitanagar,13.22694,92.93611,2021,7.35,285.0,0.0,183.0,21.0,1.0,0.0,,160.0,20.0,27.0,7.0,1.0,0.35,,190.0,0.2,,,2021,cgwb_2019.pdf,reported,True,measured,22.5,Excellent,Low,Low,wqi_band,False,7,High,F,0,0
5803,SYN|Andaman & Nicobar Islands|N&M Andaman|Haribay|13.002|92.954,Andaman & Nicobar Islands,N&M Andaman,,Haribay,13.00222,92.95417,2021,7.36,174.0,0.0,98.0,21.0,1.0,1.0,,85.0,22.0,7.0,10.0,1.0,0.33,,123.0,0.3,,,2021,cgwb_2019.pdf,reported,True,measured,17.88,Excellent,Low,Low,wqi_band,False,7,High,F,0,0
5800,SYN|Andaman & Nicobar Islands|N&M Andaman|Kaushlyanaga|12.529|92.819,Andaman & Nicobar Islands,N&M Andaman,,Kaushlyanagar,12.52889,92.81861,2021,7.64,292.0,0.0,140.0,21.0,1.0,1.0,,125.0,24.0,16.0,14.0,1.0,0.65,,164.0,0.5,,,2021,cgwb_2019.pdf,reported,True,measured,29.27,Excellent,Low,Low,wqi_band,False,7,High,F,0,0
59,W125022092511201,Andaman & Nicobar Islands,N&M Andaman,MAYABUNDER,Pahalgaon,12.83944,92.85333,2021,7.64,616.0,0.0,299.0,32.0,7.0,1.0,,250.0,22.0,47.0,25.0,2.0,0.74,,340.0,3.5,,,2021,cgwb_2019.pdf,reported,False,measured,41.71,Excellent,Low,Low,wqi_band,False,7,High,F,1,0
60,W124157092525401,Andaman & Nicobar Islands,N&M Andaman,MAYABUNDER,Joypur,12.69944,92.88139,2021,8.07,516.0,0.0,262.0,14.0,3.0,0.0,,225.0,22.0,41.0,5.0,0.0,0.26,,267.0,0.5,,,2021,cgwb_2019.pdf,reported,False,measured,32.47,Excellent,Low,Low,wqi_band,False,7,High,pH,1,0
57,W131434093023901,Andaman & Nicobar Islands,N&M Andaman,DIGLIPUR,Shibpur,13.24306,93.04417,2021,7.72,748.0,0.0,348.0,67.0,0.0,1.0,,260.0,74.0,18.0,63.0,2.0,0.52,,439.0,0.1,,,2021,cgwb_2019.pdf,reported,False,measured,42.77,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
58,W131537093004901,Andaman & Nicobar Islands,N&M Andaman,DIGLIPUR,Keralapuram,13.26,93.01333,2021,8.07,481.0,0.0,165.0,32.0,47.0,1.0,,125.0,24.0,16.0,44.0,2.0,0.34,,279.0,5.6,,,2021,cgwb_2019.pdf,reported,False,measured,35.08,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
61,SYN|Andaman & Nicobar Islands|N&M Andaman|Betapur|12.626|92.921,Andaman & Nicobar Islands,N&M Andaman,,Betapur,12.62583,92.92111,2021,8.03,427.0,0.0,171.0,25.0,37.0,0.0,,175.0,16.0,33.0,13.0,1.0,0.19,,246.0,1.1,,,2021,cgwb_2019.pdf,reported,True,measured,31.31,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
11,SYN|Andaman & Nicobar Islands|N&M Andaman|Nimbutala|12.494|92.954,Andaman & Nicobar Islands,N&M Andaman,,Nimbutala,12.49444,92.95417,2021,7.78,531.0,0.0,323.0,25.0,2.0,1.0,,245.0,36.0,38.0,14.0,1.0,0.68,,314.0,0.9,,,2021,cgwb_2019.pdf,reported,True,measured,40.34,Excellent,Low,Low,wqi_band,False,7,High,F,1,0
12,W123030092573801,Andaman & Nicobar Islands,N&M Andaman,MAYABUNDER,Padmanavapuram,12.60667,92.94917,2021,7.29,506.0,0.0,275.0,32.0,0.0,0.0,,215.0,32.0,33.0,14.0,1.0,0.66,,280.0,0.0,,,2021,cgwb_2019.pdf,reported,False,measured,32.77,Excellent,Low,Low,wqi_band,False,7,High,F,1,0
54,W122440092454401,Andaman & Nicobar Islands,N&M Andaman,RONGET,Phooltala Basti,12.41167,92.76222,2021,7.91,499.0,0.0,256.0,43.0,1.0,1.0,,225.0,22.0,41.0,19.0,4.0,0.21,,300.0,0.6,,,2021,cgwb_2019.pdf,reported,False,measured,32.5,Excellent,Low,Low,wqi_band,False,7,High,pH,1,0
55,W130955092525301,Andaman & Nicobar Islands,N&M Andaman,DIGLIPUR,Kishorinagar (Parangara),13.165,92.88167,2021,7.38,157.0,0.0,61.0,18.0,5.0,1.0,,65.0,12.0,9.0,6.0,1.0,0.32,,95.0,0.5,,,2021,cgwb_2019.pdf,reported,False,measured,16.48,Excellent,Low,Low,wqi_band,False,7,High,F,0,0
56,W131850092563301,Andaman & Nicobar Islands,N&M Andaman,DIGLIPUR,Milangram,13.31417,92.94111,2021,7.91,931.0,0.0,281.0,113.0,61.0,3.0,,345.0,30.0,66.0,55.0,7.0,0.83,,515.0,0.1,,,2021,cgwb_2019.pdf,reported,False,measured,63.17,Good,Low,Low,wqi_band,False,7,High,F,2,0
25,W131427092592601,Andaman & Nicobar Islands,N&M Andaman,DIGLIPUR,Subhasgram,13.25222,92.97417,2021,7.55,844.0,0.0,329.0,28.0,86.0,7.0,,355.0,56.0,52.0,42.0,2.0,0.34,,475.0,5.0,,,2021,cgwb_2019.pdf,reported,False,measured,49.45,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
26,W124345092530501,Andaman & Nicobar Islands,N&M Andaman,MAYABUNDER,Basantipur,12.7575,92.8725,2021,7.69,366.0,0.0,220.0,18.0,2.0,0.0,,175.0,36.0,21.0,14.0,2.0,0.57,,227.0,6.4,,,2021,cgwb_2019.pdf,reported,False,measured,31.53,Excellent,Low,Low,wqi_band,False,7,High,F,0,0
33,W123652092555501,Andaman & Nicobar Islands,N&M Andaman,MAYABUNDER,Swadeshnagar,12.65083,92.89111,2021,7.6,260.0,0.0,146.0,18.0,8.0,0.0,,135.0,18.0,22.0,9.0,1.0,0.15,,165.0,2.5,,,2021,cgwb_2019.pdf,reported,False,measured,19.99,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9,W123020092544201,Andaman & Nicobar Islands,N&M Andaman,MAYABUNDER,Rangat,12.50611,92.90861,2021,7.92,592.0,0.0,317.0,35.0,1.0,0.0,,265.0,34.0,44.0,15.0,2.0,0.32,,325.0,2.3,,,2021,cgwb_2019.pdf,reported,False,measured,36.09,Excellent,Low,Low,wqi_band,False,7,High,TH,1,0
10,W123014092513301,Andaman & Nicobar Islands,N&M Andaman,MAYABUNDER,Bakultala,12.50417,92.85833,2021,7.78,456.0,0.0,226.0,21.0,5.0,2.0,,205.0,38.0,27.0,14.0,7.0,0.6,,251.0,0.3,,,2021,cgwb_2019.pdf,reported,False,measured,35.97,Excellent,Low,Low,wqi_band,False,7,High,F,1,0
13,W124940092512801,Andaman & Nicobar Islands,N&M Andaman,MAYABUNDER,Rest Camp,12.83278,92.85917,2021,7.75,431.0,0.0,220.0,25.0,1.0,1.0,,195.0,20.0,35.0,18.0,1.0,0.4,,234.0,1.1,,,2021,cgwb_2019.pdf,reported,False,measured,30.57,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
15,W121001092455601,Andaman & Nicobar Islands,N&M Andaman,RONGET,Baratang (Nilambur),12.16833,92.76694,2021,7.83,548.0,0.0,293.0,28.0,1.0,1.0,,200.0,26.0,33.0,35.0,1.0,0.49,,303.0,0.5,,,2021,cgwb_2019.pdf,reported,False,measured,35.39,Excellent,Low,Low,wqi_band,False,7,High,F,0,0
16,W121858092472001,Andaman & Nicobar Islands,N&M Andaman,RONGET,Uttara,12.16139,92.79,2021,7.59,253.0,0.0,122.0,28.0,1.0,1.0,,110.0,22.0,13.0,11.0,2.0,0.47,,153.0,0.5,,,2021,cgwb_2019.pdf,reported,False,measured,24.87,Excellent,Low,Low,wqi_band,False,7,High,F,0,0
17,W122041092464401,Andaman & Nicobar Islands,N&M Andaman,RONGET,Kadamtala,12.34917,92.77417,2021,7.9,626.0,0.0,342.0,28.0,1.0,1.0,,240.0,26.0,43.0,48.0,1.0,0.38,,356.0,0.1,,,2021,cgwb_2019.pdf,reported,False,measured,37.09,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
18,W122009092455601,Andaman & Nicobar Islands,N&M Andaman,RONGET,Porlobjig-15,12.49556,92.78111,2021,7.7,349.0,0.0,189.0,25.0,1.0,1.0,,150.0,22.0,23.0,16.0,3.0,0.7,,206.0,0.1,,,2021,cgwb_2019.pdf,reported,False,measured,33.13,Excellent,Low,Low,wqi_band,False,7,High,F,0,0
19,SYN|Andaman & Nicobar Islands|N&M Andaman|Tikadera|12.523|92.814,Andaman & Nicobar Islands,N&M Andaman,,Tikadera,12.52278,92.81389,2021,7.38,186.0,0.0,92.0,21.0,0.0,1.0,,80.0,22.0,6.0,9.0,2.0,0.48,,117.0,0.2,,,2021,cgwb_2019.pdf,reported,True,measured,20.42,Excellent,Low,Low,wqi_band,False,7,High,F,0,0
